Company,CR,DA,FL,OPM,RT,TAT,DE,Y,PT,Sector
2Q3DU,1.19,0.2,2.21,0.077,6.66,0.4,0.43,1.95,5.93,Industrials
46JNq,0.29,0.64,10.14,0.2037,20.04,0.36,6.52,7.26,43.48,Communication Services
4ISOt,2.93,0.04,1.43,0.3055,6.55,0.72,0.06,7.78,18.38,Communication Services
5AWwu,1.03,0.25,3.55,0.0708,146.43,1.8,0.88,6.17,5.15,Consumer Defensive
5hbZR,1.2,0.47,0.0,0.1677,30.92,0.93,0.0,0.0,17.06,Consumer Cyclical
5OS3V,1.41,0.68,0.0,0.1923,7.26,1.16,0.0,0.0,2.31,Healthcare
6qLRA,1.19,0.49,13.56,-0.0415,14.81,0.36,6.69,3.06,4.63,Industrials
7CbEe,2.1,0.46,3.83,0.2278,8.07,0.46,1.77,16.35,6.91,Consumer Cyclical
8haSA,0.78,0.41,4.48,0.2429,5.6,0.36,1.84,2.74,7.0,Communication Services
8kTHi,1.11,0.23,2.08,0.1998,8.07,0.56,0.47,1.57,7.26,Basic Materials
A4JB2,1.23,0.04,1.6,0.0214,2.73,0.32,0.07,4.73,0.0,Technology
aI3HK,1.14,0.18,3.04,0.053,17.73,1.12,0.54,11.6,3.46,Consumer Cyclical
aI8EZ,1.59,0.54,9.13,0.3144,4.96,0.4,4.97,18.51,4.72,Healthcare
alGnD,5.89,0.3,1.92,-0.097,4.17,0.36,0.58,3.97,8.85,Communication Services
AqF25,2.02,0.03,1.66,0.222,6.07,1.32,0.04,19.21,6.44,Technology
AUpye,1.25,0.15,1.84,0.3676,8.41,0.58,0.28,15.94,5.98,Technology
Awtx1,1.04,0.14,2.01,0.0868,10.29,0.82,0.28,1.93,7.18,Energy
bCSzy,1.35,0.19,2.46,0.2495,6.14,0.52,0.46,5.9,2.7,Healthcare
BKGlA,3.3,0.31,2.64,0.3064,4.83,0.92,0.83,13.64,9.43,Technology
BndPS,1.33,0.42,0.0,-0.0466,23.58,0.45,0.0,0.0,6.4,Industrials
bOls6,1.73,0.4,3.0,0.4467,10.91,0.31,1.21,5.72,3.17,Industrials
BV6He,1.13,0.45,4.1,0.2667,11.01,0.41,1.86,11.74,3.34,Consumer Defensive
BweH1,1.94,0.13,1.38,0.2312,5.02,0.14,0.18,2.5,6.3,Technology
c9iAO,1.51,0.25,3.43,0.0698,6.96,1.01,0.86,3.26,8.34,Industrials
Cdr0m,1.26,0.24,3.14,0.0187,11.43,1.97,0.75,1.91,8.87,Energy
cIPg7,2.54,0.21,2.11,0.2987,4.66,0.89,0.45,10.6,8.25,Technology
CP7VJ,0.92,0.67,0.0,0.1578,26.33,1.99,0.0,0.0,3.01,Consumer Defensive
CwEyb,1.7,0.37,3.13,0.2084,7.59,0.75,1.16,6.21,6.28,Conglomerates
E1Wrw,0.79,0.52,9.51,0.3189,5.63,0.38,4.98,16.53,6.05,Healthcare
ecjSU,2.08,0.21,2.35,0.4159,4.42,0.5,0.5,15.16,3.44,Technology
EheSd,4.09,0.24,1.7,0.2718,6.86,0.58,0.41,20.13,5.23,Technology
EmE4u,0.97,0.19,3.12,0.0406,85.21,2.2,0.6,4.59,8.55,Consumer Defensive
FdN7i,0.87,0.39,10.48,0.0216,6.8,0.4,4.11,14.55,1.14,Consumer Cyclical
fGepV,2.64,0.53,3.03,0.3103,13.25,0.36,1.59,10.5,9.77,Technology
fIy8l,1.42,0.23,4.64,0.1361,34.15,1.32,1.07,9.62,74.34,Industrials
FsU9y,1.85,0.24,2.1,0.1956,6.64,0.57,0.5,5.75,4.21,Healthcare
FWggO,1.2,0.54,5.3,0.0359,11.09,0.49,2.85,1.48,5.13,Consumer Cyclical
GCagV,1.75,0.25,2.21,0.6556,13.71,0.29,0.56,11.41,9.87,Financial Services
GRsRd,0.88,0.47,8.48,0.1283,8.48,0.97,3.95,28.55,4.74,Basic Materials
hqTVU,1.29,0.37,5.15,0.5339,14.32,0.5,1.9,49.43,20.68,Financial Services
HUZTC,0.7,0.32,3.32,0.1383,9.61,0.31,1.07,1.03,2.59,Communication Services
Hzcsi,3.1,0.12,1.34,0.2268,5.63,0.47,0.15,1.79,9.91,Technology
i2xLB,1.52,0.41,3.04,0.1591,5.65,0.42,1.24,4.07,3.37,Healthcare
IFYck,0.85,0.34,2.87,0.1789,9.69,0.42,0.99,2.36,3.09,Communication Services
IYuKk,1.42,0.32,4.87,0.1317,7.76,1.4,1.54,12.76,3.6,Industrials
jhFdg,1.09,0.48,24.7,0.1913,13.43,1.16,11.9,109.24,4.76,Consumer Defensive
JhQqG,1.23,0.35,5.44,0.2245,4.24,0.58,1.88,25.28,4.38,Healthcare
Ji5NX,3.15,0.0,1.33,0.3965,8.4,0.71,0.0,5.18,5.55,Communication Services
K4YN2,1.47,0.24,2.7,0.0515,20.66,1.41,0.64,3.07,7.59,Healthcare
KtN8a,1.07,0.06,8.6,0.2216,5.5,0.31,0.53,15.82,61.24,Industrials
LBzK4,1.22,0.12,3.49,0.168,31.71,0.33,0.42,6.66,68.27,Financial Services
Lgfee,1.28,0.18,4.93,0.0858,4.55,0.36,0.87,2.64,3.32,Industrials
lWUzX,2.72,0.25,2.96,0.1558,9.98,1.18,0.74,19.79,8.67,Consumer Cyclical
MRW1e,0.74,0.29,2.37,0.162,12.29,0.43,0.69,3.29,2.6,Consumer Defensive
mS0GZ,1.38,0.11,2.06,0.1212,28.14,0.87,0.23,31.06,4.01,Consumer Cyclical
MurJ2,5.08,0.0,1.14,0.3189,7.3,0.42,0.0,8.59,14.45,Healthcare
n2wGj,1.0,0.14,3.37,0.0349,106.52,3.24,0.49,11.3,10.49,Consumer Defensive
NH3bb,1.34,0.22,2.0,0.2434,7.0,0.51,0.44,2.61,4.77,Energy
nPtDv,0.88,0.39,6.98,0.1197,8.49,0.43,2.74,5.9,6.54,Technology
nr5PY,1.26,0.13,1.72,0.104,8.45,0.65,0.23,1.89,6.69,Energy
oh7yp,0.71,0.71,0.0,0.4444,553.47,0.66,0.0,0.0,15.86,Consumer Defensive
OhaK7,5.33,0.31,1.85,0.4884,10.78,0.74,0.58,11.87,9.14,Technology
oiv7a,0.91,0.57,0.0,-0.0354,19.86,0.45,0.0,0.0,9.04,Industrials
Oxyxu,1.25,0.0,2.21,0.1508,5.74,1.17,0.0,11.06,15.03,Technology
P9znL,0.79,0.22,2.96,0.084,15.91,1.34,0.64,6.27,7.63,Healthcare
PeiXT,3.56,0.11,1.36,0.5567,2.66,0.63,0.14,3.6,4.32,Healthcare
PEqM7,1.27,0.39,3.23,0.3672,6.01,0.4,1.27,3.65,9.36,Healthcare
pgJHw,0.74,0.18,1.85,0.1619,6.84,0.38,0.33,3.38,5.01,Basic Materials
pkZBl,1.16,0.15,5.66,-0.0467,48.34,2.06,0.83,29.11,11.21,Consumer Cyclical
PqRAQ,2.1,0.23,1.77,0.2462,8.36,0.47,0.4,2.05,6.13,Technology
Q0dg9,1.46,0.46,5.02,0.1427,5.68,0.58,2.29,6.62,4.36,Industrials
Q2trW,1.08,0.27,2.3,0.0446,5.04,0.33,0.62,3.11,2.76,Communication Services
Q7KOA,1.46,0.2,5.28,0.0181,69.69,1.04,1.04,13.68,5.09,Consumer Cyclical
qdG42,0.88,0.24,3.1,0.0454,11.91,1.25,0.75,1.83,19.14,Healthcare
QFoY8,0.95,0.35,2.81,0.2086,36.92,0.67,0.97,10.83,20.7,Communication Services
QiwB1,1.23,0.53,21.39,0.1384,44.15,1.87,11.29,95.58,7.52,Consumer Cyclical
qzrbi,0.62,0.47,4.49,0.4283,12.66,0.34,2.1,10.9,5.41,Industrials
r1lEY,0.83,0.44,5.76,0.1404,9.16,0.86,2.51,14.52,3.77,Consumer Defensive
rr2Oh,1.23,0.39,3.69,0.1621,6.17,0.35,1.46,1.79,2.48,Energy
SYXLy,0.76,0.37,18.64,0.0631,12.44,0.41,6.93,6.97,3.4,Industrials
tdg9S,1.43,0.27,1.84,0.2535,6.36,0.35,0.49,4.16,4.48,Healthcare
tX5FA,1.05,0.15,2.92,0.0436,4.24,0.55,0.43,30.36,15.2,Technology
Tyyob,2.65,0.28,1.81,0.1489,5.51,0.32,0.51,3.26,4.98,Healthcare
UkzJz,1.78,0.66,0.0,0.4459,5.23,0.43,0.0,0.0,7.99,Consumer Cyclical
ulbpy,1.3,0.3,3.47,0.1803,5.04,0.53,1.06,6.91,3.61,Industrials
usBNB,1.68,0.38,4.14,0.2916,15.16,0.81,1.58,15.59,5.19,Technology
vGaDH,1.38,0.32,2.27,0.2644,7.91,0.58,0.73,3.86,12.74,Energy
vW0pU,1.94,0.13,1.57,0.2595,24.64,0.62,0.21,15.71,2.7,Technology
vwxyQ,1.19,0.47,32.52,0.1077,0.0,1.92,15.16,90.79,5.51,Consumer Cyclical
Wjagj,1.76,0.03,1.74,0.7522,5.57,0.72,0.05,4.31,8.67,Healthcare
xC5LA,0.89,0.37,2.99,0.086,19.23,0.39,1.11,2.25,5.63,Communication Services
xWEI9,3.86,0.47,3.06,0.3549,6.86,0.56,1.45,20.55,5.28,Healthcare
xzg7b,1.1,0.45,4.1,0.0821,15.36,0.46,1.83,1.3,4.93,Consumer Cyclical
Y0lHb,1.07,0.36,5.56,0.2978,13.92,1.04,1.99,38.96,3.89,Technology
y6kqD,1.27,0.31,2.77,0.2574,5.28,0.46,0.87,5.05,2.96,Healthcare
yhCH3,1.5,0.37,2.33,0.2557,4.92,0.41,0.85,5.18,6.83,Healthcare
YqdX2,0.7,0.27,2.57,0.2363,16.11,0.64,0.69,7.4,2.7,Consumer Defensive
yUjyz,1.49,0.12,2.36,0.2576,8.64,0.51,0.28,5.99,7.59,Technology
YX515,2.3,0.64,25.03,0.3758,7.48,0.31,16.08,41.57,10.54,Technology
zCRGR,1.4,0.21,2.35,0.2391,7.08,0.45,0.5,3.35,5.53,Healthcare
